taxonID,Scientific.Name.with.Author,Common.Name,Family,jenkins_model,habit
CLKE,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood,Fabaceae,hard maple/oak/hickory/beech,tree
CLTE3,Clitoria ternatea L.,Asian pigeonwings,Fabaceae,woodland,tree
GAST2,Galactia striata (Jacq.) Urb.,Florida hammock milkpea,Fabaceae,woodland,tree
GLTR,Gleditsia triacanthos L.,honeylocust,Fabaceae,mixed hardwood,tree
GYDI,Gymnocladus dioicus (L.) K. Koch,Kentucky coffeetree,Fabaceae,mixed hardwood,tree
HACA2,Haematoxylum campechianum L.,bloodwoodtree,Fabaceae,woodland,tree
LEBI2,Lespedeza bicolor Turcz.,shrub lespedeza,Fabaceae,woodland,tree
LEHI2,Lespedeza hirta (L.) Hornem.,hairy lespedeza,Fabaceae,woodland,tree
LELE10,Leucaena leucocephala (Lam.) de Wit,white leadtree,Fabaceae,woodland,tree
LUAL4,Lupinus albifrons Benth.,silver lupine,Fabaceae,woodland,tree
PAFL6,Parkinsonia florida (Benth. ex A. Gray) S. Watson,blue paloverde,Fabaceae,woodland,tree
PIAC,Pictetia aculeata (Vahl) Urb.,fustic,Fabaceae,woodland,tree
PIDU,Pithecellobium dulce (Roxb.) Benth.,monkeypod,Fabaceae,woodland,tree
PIUN,Pithecellobium unguis-cati (L.) Benth.,catclaw blackbead,Fabaceae,woodland,tree
POFL20,Poitea florida (Vahl) Lavin,wattapama,Fabaceae,woodland,tree
POPA34,Poitea paucifolia (DC.) Lavin,retama,Fabaceae,woodland,tree
PRGL2,Prosopis glandulosa Torr.,honey mesquite,Fabaceae,woodland,tree
PRJU3,Prosopis juliflora (Sw.) DC.,mesquite,Fabaceae,woodland,tree
PRVE,Prosopis velutina Wooton,velvet mesquite,Fabaceae,woodland,tree
ROPS,Robinia pseudoacacia L.,black locust,Fabaceae,mixed hardwood,tree
SEGR4,Senegalia greggii (A. Gray) Britton & Rose,catclaw acacia,Fabaceae,mixed hardwood,tree
SESI3,Senna siamea (Lam.) Irwin & Barneby,Siamese cassia,Fabaceae,mixed hardwood,tree
VACO9,Vachellia constricta (Benth.) Seigler & Ebinger,whitethorn acacia,Fabaceae,mixed hardwood,tree
WISTE,Wisteria Nutt.,wisteria,Fabaceae,woodland,tree
ZAPO2,Zapoteca portoricensis (Jacq.) H.M. Hern.,white stickpea,Fabaceae,woodland,tree
CADE12,Castanea dentata (Marshall) Borkh.,American chestnut,Fagaceae,hard maple/oak/hickory/beech,tree
CASTA,Castanea Mill.,chestnut,Fagaceae,hard maple/oak/hickory/beech,tree
CHSE11,Chrysolepis sempervirens (Kellogg) Hjelmqvist,bush chinquapin,Fagaceae,hard maple/oak/hickory/beech,tree
FAGR,Fagus grandifolia Ehrh.,American beech,Fagaceae,hard maple/oak/hickory/beech,tree
FAGUS,Fagus L.,beech,Fagaceae,hard maple/oak/hickory/beech,tree
QUNE,Quercus ×neopalmeri Sudw. ex Palmer,hybrid oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUPA,Quercus ×palaeolithicola Trel.,hybrid oak,Fagaceae,woodland,tree
QUHE,Quercus Ã—heterophylla Michx. f. (pro sp.),Bartram oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUAL,Quercus alba L.,white oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUBI,Quercus bicolor Willd.,swamp white oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUCH,Quercus chapmanii Sarg.,Chapman oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUCH2,Quercus chrysolepis Liebm.,canyon live oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUCO2,Quercus coccinea Münchh.,scarlet oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUDO,Quercus douglasii Hook. & Arn.,blue oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUEL,Quercus ellipsoidalis E.J. Hill,northern pin oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUFA,Quercus falcata Michx.,southern red oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUFU,Quercus fusiformis Small,Texas live oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUGE2,Quercus geminata Small,sand live oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUHE2,Quercus hemisphaerica W. Bartram ex Willd.,Darlington oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUIN,Quercus incana W. Bartram,bluejack oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUIN7,Quercus inopina Ashe,sandhill oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUKE,Quercus kelloggii Newberry,California black oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUERC,Quercus L.,oak,Fagaceae,hard maple/oak/hickory/beech,tree
QULA,Quercus laceyi Small,Lacey oak,Fagaceae,hard maple/oak/hickory/beech,tree
QULA2,Quercus laevis Walter,turkey oak,Fagaceae,hard maple/oak/hickory/beech,tree
QULA3,Quercus laurifolia Michx.,laurel oak,Fagaceae,hard maple/oak/hickory/beech,tree
QULY,Quercus lyrata Walter,overcup oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMA2,Quercus macrocarpa Michx.,bur oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMA13,Quercus margaretta (Ashe) Small,sand post oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMA3,Quercus marilandica Münchh.,blackjack oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMI,Quercus michauxii Nutt.,swamp chestnut oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMI2,Quercus minima (Sarg.) Small,dwarf live oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMO4,Quercus montana Willd.,chestnut oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMU,Quercus muehlenbergii Engelm.,chinquapin oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUMY,Quercus myrtifolia Willd.,myrtle oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUNI,Quercus nigra L.,water oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUPA5,Quercus pagoda Raf.,cherrybark oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUPA2,Quercus palustris MÃ¼nchh.,pin oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUPH,Quercus phellos L.,willow oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUPU80,Quercus pumila Walter,running oak,Fagaceae,,shrub
QURU,Quercus rubra L.,northern red oak,Fagaceae,hard maple/oak/hickory/beech,tree
QURUR,Quercus rubra L. var. rubra,northern red oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUSH,Quercus shumardii Buckley,Shumard's oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUST,Quercus stellata Wangenh.,post oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUVE,Quercus velutina Lam.,black oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUVI,Quercus virginiana Mill.,live oak,Fagaceae,hard maple/oak/hickory/beech,tree
QUWI2,Quercus wislizeni A. DC.,interior live oak,Fagaceae,hard maple/oak/hickory/beech,tree
CAAC3,Casearia aculeata Jacq.,rabo de ranton,Flacourtiaceae,,shrub
CASY2,Casearia sylvestris Sw.,crackopen,Flacourtiaceae,,shrub
FOSP2,Fouquieria splendens Engelm.,ocotillo,Fouquieriaceae,,shrub
CYLY2,Cyrtandra lysiosepala (A. Gray) C.B. Clarke,oppositeleaf cyrtandra,Gesneriaceae,,shrub
CYPA12,Cyrtandra paludosa Gaudich.,kanawao ke'oke'o,Gesneriaceae,,shrub
CYPL5,Cyrtandra platyphylla A. Gray,'ilihia,Gesneriaceae,,shrub
GIBI2,Ginkgo biloba L.,maidenhair tree,Ginkgoaceae,mixed hardwood,tree
ITVI,Itea virginica L.,Virginia sweetspire,Grossulariaceae,,shrub
RICE,Ribes cereum Douglas,wax currant,Grossulariaceae,,shrub
RIGL,Ribes glandulosum Grauer,skunk currant,Grossulariaceae,,shrub
RIBES,Ribes L.,currant,Grossulariaceae,,shrub
RIMI,Ribes missouriense Nutt.,Missouri gooseberry,Grossulariaceae,,shrub
RIRO,Ribes roezlii Regel,Sierra gooseberry,Grossulariaceae,,shrub
HAVI4,Hamamelis virginiana L.,American witchhazel,Hamamelidaceae,,shrub
LIST2,Liquidambar styraciflua L.,sweetgum,Hamamelidaceae,mixed hardwood,tree
AECA,Aesculus californica (Spach) Nutt.,California buckeye,Hippocastanaceae,mixed hardwood,tree
AEFL,Aesculus flava Aiton,yellow buckeye,Hippocastanaceae,mixed hardwood,tree
AEPA2,Aesculus parviflora Walter,bottlebrush buckeye,Hippocastanaceae,mixed hardwood,tree
AEPA,Aesculus pavia L.,red buckeye,Hippocastanaceae,mixed hardwood,tree
BRAR6,Broussaisia arguta Gaudich.,kanawao,Hydrangeaceae,,shrub
HYAR,Hydrangea arborescens L.,wild hydrangea,Hydrangeaceae,,shrub
JAAM,Jamesia americana Torr. & A. Gray,fivepetal cliffbush,Hydrangeaceae,,shrub
PHHI2,Philadelphus hirsutus Nutt.,streambank mock orange,Hydrangeaceae,,shrub
ILFL,Illicium floridanum Ellis,Florida anisetree,Illiciaceae,,shrub
CAAQ2,Carya aquatica (Michx. f.) Nutt.,water hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CACA38,Carya carolinae-septentrionalis (Ashe) Engl. & Graebn.,southern shagbark hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CACO15,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CAGL8,Carya glabra (Mill.) Sweet,pignut hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CAIL2,Carya illinoinensis (Wangenh.) K. Koch,pecan,Juglandaceae,hard maple/oak/hickory/beech,tree
CARYA,Carya Nutt.,hybrid hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CAOV3,Carya ovalis (Wangenh.) Sarg.,red hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CAOV2,Carya ovata (Mill.) K. Koch,shagbark hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CAPA24,Carya pallida (Ashe) Engl. & Graebn.,sand hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
CATO6,Carya tomentosa (Lam.) Nutt.,mockernut hickory,Juglandaceae,hard maple/oak/hickory/beech,tree
JUCI,Juglans cinerea L.,butternut,Juglandaceae,mixed hardwood,tree
JUNI,Juglans nigra L.,black walnut,Juglandaceae,mixed hardwood,tree
CECA,Cedronella canariensis (L.) Willd. ex Webb & Bethel.,herb of Gilead,Lamiaceae,,forb/herb
MORU,Monarda russeliana Nutt. ex Sims,redpurple beebalm,Lamiaceae,,forb/herb
LIBE3,Lindera benzoin (L.) Blume,northern spicebush,Lauraceae,woodland,shrub/tree
LIBEB,Lindera benzoin (L.) Blume var. benzoin,northern spicebush,Lauraceae,woodland,shrub/tree
PEAM3,Persea americana Mill.,avocado,Lauraceae,woodland,shrub/tree
PEBO,Persea borbonia (L.) Spreng.,redbay,Lauraceae,woodland,shrub/tree
PEPA37,Persea palustris (Raf.) Sarg.,swamp bay,Lauraceae,woodland,shrub/tree
SAAL5,Sassafras albidum (Nutt.) Nees,sassafras,Lauraceae,mixed hardwood,tree
SASSA,Sassafras Nees & Eberm.,sassafras,Lauraceae,mixed hardwood,tree
LIST,Linum striatum Walter,ridged yellow flax,Linaceae,,forb/herb
GESE,Gelsemium sempervirens (L.) W.T. Aiton,evening trumpetflower,Loganiaceae,,forb/herb
LAHE2,Labordia hedyosmifolia Baill.,bog labordia,Loganiaceae,,forb/herb
LITU,Liriodendron tulipifera L.,tuliptree,Magnoliaceae,mixed hardwood,tree
MAAC,Magnolia acuminata (L.) L.,cucumber tree,Magnoliaceae,mixed hardwood,tree
MAFR,Magnolia fraseri Walter,mountain magnolia,Magnoliaceae,mixed hardwood,tree
MAGR4,Magnolia grandiflora L.,southern magnolia,Magnoliaceae,mixed hardwood,tree
MAGNO,Magnolia L.,magnolia,Magnoliaceae,mixed hardwood,tree
MAMA2,Magnolia macrophylla Michx.,bigleaf magnolia,Magnoliaceae,mixed hardwood,tree
MATR,Magnolia tripetala (L.) L.,umbrella-tree,Magnoliaceae,mixed hardwood,tree
MAVI2,Magnolia virginiana L.,sweetbay,Magnoliaceae,mixed hardwood,tree
BUGL,Bunchosia glandulosa (Cav.) DC.,cafe forastero,Malpighiaceae,,shrub
HEPU17,Heteropterys purpurea (L.) Kunth,bull withe,Malpighiaceae,,shrub
STEM3,Stigmaphyllon emarginatum (Cav.) A. Juss.,monarch Amazonvine,Malpighiaceae,,shrub
STFL5,Stigmaphyllon floribundum (DC.) C.E. Anderson,woolly Amazonvine,Malpighiaceae,,shrub
HILA2,Hibiscus laevis All.,halberdleaf rosemallow,Malvaceae,,forb/herb
MEAZ,Melia azedarach L.,Chinaberrytree,Meliaceae,mixed hardwood,tree
SWMA2,Swietenia mahagoni (L.) Jacq.,West Indian mahogany,Meliaceae,mixed hardwood,tree
COCA,Cocculus carolinus (L.) DC.,Carolina coralbead,Menispermaceae,,vine
ANAL12,Anisomeridium albisedum (Nyl.) R.C. Harris,anisomeridium lichen,Monoblastiaceae,,lichen
FICI,Ficus citrifolia Mill.,wild banyantree,Moraceae,mixed hardwood,tree
MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange,Moraceae,mixed hardwood,tree
MOAL,Morus alba L.,white mulberry,Moraceae,mixed hardwood,tree
MORUS,Morus L.,mulberry,Moraceae,mixed hardwood,tree
MORU2,Morus rubra L.,red mulberry,Moraceae,mixed hardwood,tree
MYSA,Myoporum sandwicense (A. DC.) A. Gray,naio,Myoporaceae,,
COPE80,Comptonia peregrina (L.) J.M. Coult.,sweet fern,Myricaceae,,shrub
MOCE2,Morella cerifera (L.) Small,wax myrtle,Myricaceae,woodland,shrub/tree
MYLE2,Myrsine lessertiana A. DC.,kolea lau nui,Myrsinaceae,woodland,shrub/tree
MYSA2,Myrsine sandwicensis A. DC.,kokea lau li'i,Myrsinaceae,woodland,shrub/tree
EUAX,Eugenia axillaris (Sw.) Willd.,white stopper,Myrtaceae,woodland,shrub/tree
EUFO3,Eugenia foetida Pers.,boxleaf stopper,Myrtaceae,woodland,shrub/tree
EUGEN,Eugenia L.,stopper,Myrtaceae,woodland,shrub/tree
EULI,Eugenia ligustrina (Sw.) Willd.,privet stopper,Myrtaceae,woodland,shrub/tree
EURH,Eugenia rhombea (Berg) Krug & Urb.,red stopper,Myrtaceae,woodland,shrub/tree
EUXE,Eugenia xerophytica Britton,aridland stopper,Myrtaceae,woodland,shrub/tree
MEPO5,Metrosideros polymorpha Gaudich.,'ohi'a lehua,Myrtaceae,woodland,shrub/tree
PSCA,Psidium cattleianum Sabine,strawberry guava,Myrtaceae,woodland,shrub/tree
GUOB,Guapira obtusata (Jacq.) Little,corcho prieto,Nyctaginaceae,woodland,shrub/tree
PIAL3,Pisonia albida (Heimerl) Britton ex Standl.,corcho bobo,Nyctaginaceae,woodland,shrub/tree
FOAC,Forestiera acuminata (Michx.) Poir.,eastern swampprivet,Oleaceae,mixed hardwood,tree
FRAM2,Fraxinus americana L.,white ash,Oleaceae,mixed hardwood,tree
FRCA3,Fraxinus caroliniana Mill.,Carolina ash,Oleaceae,mixed hardwood,tree
FRAXI,Fraxinus L.,ash,Oleaceae,mixed hardwood,tree
FRNI,Fraxinus nigra Marshall,black ash,Oleaceae,mixed hardwood,tree
FRPE,Fraxinus pennsylvanica Marshall,green ash,Oleaceae,mixed hardwood,tree
FRPR,Fraxinus profunda (Bush) Bush,pumpkin ash,Oleaceae,mixed hardwood,tree
FRUH,Fraxinus uhdei (Wenzig) Lingelsh.,shamel ash,Oleaceae,mixed hardwood,tree
JAFL,Jasminum fluminense Vell.,jazmin de trapo,Oleaceae,,vine
LIJA,Ligustrum japonicum Thunb.,Japanese privet,Oleaceae,woodland,shrub/tree
LIOB,Ligustrum obtusifolium Siebold & Zucc.,border privet,Oleaceae,woodland,shrub/tree
LISI,Ligustrum sinense Lour.,Chinese privet,Oleaceae,woodland,shrub/tree
LIVU,Ligustrum vulgare L.,European privet,Oleaceae,woodland,shrub/tree
COAM,Conopholis americana (L.) Wallr.,American cancer-root,Orobanchaceae,,forb/herb
FRAR,Freycinetia arborea Gaudich.,'ie'ie,Pandanaceae,,vine
ABAM,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae,fir/hemlock,tree
ABBA,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,fir/hemlock,tree
ABCO,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,fir/hemlock,tree
ABFR,Abies fraseri (Pursh) Poir.,Fraser fir,Pinaceae,fir/hemlock,tree
ABGR,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,fir/hemlock,tree
ABLAL,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,fir/hemlock,tree
ABLO,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,Pinaceae,fir/hemlock,tree
ABMA,Abies magnifica A. Murray bis,California red fir,Pinaceae,fir/hemlock,tree
ABIES,Abies Mill.,fir,Pinaceae,fir/hemlock,tree
ABPR,Abies nobilis (Douglas ex D. Don) Lindl.,noble fir,Pinaceae,fir/hemlock,tree
LALA,Larix laricina (Du Roi) K. Koch,tamarack,Pinaceae,spruce,tree
LARIX,Larix Mill.,larch,Pinaceae,spruce,tree
PICEA,Picea A. Dietr.,spruce,Pinaceae,spruce,tree
PIAB,Picea abies (L.) Karst.,Norway spruce,Pinaceae,spruce,tree
PIEN,Picea engelmannii Parry ex Engelm.,Engelmann spruce,Pinaceae,spruce,tree
PIGL,Picea glauca (Moench) Voss,white spruce,Pinaceae,spruce,tree
PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce,Pinaceae,spruce,tree
PIRU,Picea rubens Sarg.,red spruce,Pinaceae,spruce,tree
PIAL,Pinus albicaulis Engelm.,whitebark pine,Pinaceae,pine,tree
PICL,Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.,sand pine,Pinaceae,pine,tree
PICO,Pinus contorta Douglas ex Loudon,lodgepole pine,Pinaceae,pine,tree
PICOL,Pinus contorta Douglas ex Loudon var. latifolia Engelm. ex S. Watson,lodgepole pine,Pinaceae,pine,tree
PIEC2,Pinus echinata Mill.,shortleaf pine,Pinaceae,pine,tree
PIED,Pinus edulis Engelm.,twoneedle pinyon,Pinaceae,pine,tree
PIEL,Pinus elliottii Engelm.,slash pine,Pinaceae,pine,tree
PIFL2,Pinus flexilis James,limber pine,Pinaceae,pine,tree
PIGL2,Pinus glabra Walter,spruce pine,Pinaceae,pine,tree
PIJE,Pinus jeffreyi Balf.,Jeffrey pine,Pinaceae,pine,tree
PINUS,Pinus L.,pine,Pinaceae,pine,tree
PILA,Pinus lambertiana Douglas,sugar pine,Pinaceae,pine,tree
PIMO3,Pinus monticola Douglas ex D. Don,western white pine,Pinaceae,pine,tree
PIPA2,Pinus palustris Mill.,longleaf pine,Pinaceae,pine,tree
PIPO,Pinus ponderosa Lawson & C. Lawson,ponderosa pine,Pinaceae,pine,tree
PIPOS,Pinus ponderosa Lawson & C. Lawson var. scopulorum Engelm.,ponderosa pine,Pinaceae,pine,tree
PIPU5,Pinus pungens Lamb.,Table Mountain pine,Pinaceae,pine,tree
PIRE,Pinus resinosa Aiton,red pine,Pinaceae,pine,tree
PIRI,Pinus rigida Mill.,pitch pine,Pinaceae,pine,tree
PISA2,Pinus sabiniana Douglas ex Douglas,California foothill pine,Pinaceae,pine,tree
PIST,Pinus strobus L.,eastern white pine,Pinaceae,pine,tree
PITA,Pinus taeda L.,loblolly pine,Pinaceae,pine,tree
PIVI2,Pinus virginiana Mill.,Virginia pine,Pinaceae,pine,tree
PSME,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir,Pinaceae,fir/hemlock,tree
PSMEM,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,Douglas-fir,Pinaceae,fir/hemlock,tree
TSCA,Tsuga canadensis (L.) Carrière,eastern hemlock,Pinaceae,fir/hemlock,tree
TSHE,Tsuga heterophylla (Raf.) Sarg.,western hemlock,Pinaceae,fir/hemlock,tree
PLOC,Platanus occidentalis L.,American sycamore,Platanaceae,mixed hardwood,tree
AMMU2,Amphicarpum muehlenbergianum (Schult.) Hitchc.,Muhlenberg maidencane,Poaceae,,graminoid
POSE,Poa secunda J. Presl,Sandberg bluegrass,Poaceae,,graminoid
TRDA3,Tripsacum dactyloides (L.) L.,eastern gamagrass,Poaceae,,graminoid
BROV4,Brunnichia ovata (Walter) Shinners,American buckwheat vine,Polygonaceae,,vine
CODI8,Coccoloba diversifolia Jacq.,tietongue,Polygonaceae,woodland,shrub/tree
COKR,Coccoloba krugii Lindau,whitewood,Polygonaceae,woodland,shrub/tree
COMI,Coccoloba microstachya Willd.,puckhout,Polygonaceae,woodland,shrub/tree
COCCO,Coccoloba P. Br.,coccoloba,Polygonaceae,woodland,shrub/tree
BESC,Berchemia scandens (Hill) K. Koch,Alabama supplejack,Rhamnaceae,,vine
CECO,Ceanothus cordulatus Kellogg,whitethorn ceanothus,Rhamnaceae,,shrub
CECU,Ceanothus cuneatus (Hook.) Nutt.,buckbrush,Rhamnaceae,,shrub
CEHE,Ceanothus herbaceus Raf.,Jersey tea,Rhamnaceae,,shrub
CEIN3,Ceanothus integerrimus Hook. & Arn.,deerbrush,Rhamnaceae,,shrub
CEANO,Ceanothus L.,ceanothus,Rhamnaceae,,shrub
CELE2,Ceanothus leucodermis Greene,chaparral whitethorn,Rhamnaceae,,shrub
COAR3,Colubrina arborescens (Mill.) Sarg.,greenheart,Rhamnaceae,woodland,shrub/tree
COEL2,Colubrina elliptica (Sw.) Briz. & Stern,soldierwood,Rhamnaceae,woodland,shrub/tree
COLUB,Colubrina Rich. ex Brongn.,nakedwood,Rhamnaceae,woodland,shrub/tree
FRCAC7,Frangula californica (Eschsch.) A. Gray ssp. cuspidata (Greene) Kartesz & Gandhi,California buckthorn,Rhamnaceae,woodland,shrub/tree
FRCA13,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn,Rhamnaceae,woodland,shrub/tree
FRPU7,Frangula purshiana (DC.) A. Gray,Cascara buckthorn,Rhamnaceae,woodland,shrub/tree
KRFE,Krugiodendron ferreum (Vahl) Urb.,leadwood,Rhamnaceae,woodland,shrub/tree
REGU,Reynosia guama Urb.,guama,Rhamnaceae,woodland,shrub/tree
REUN,Reynosia uncinata Urb.,sloe,Rhamnaceae,woodland,shrub/tree
RHAL,Rhamnus alnifolia L'HÃ©r.,alderleaf buckthorn,Rhamnaceae,woodland,shrub/tree
RHDA,Rhamnus davurica Pall.,Dahurian buckthorn,Rhamnaceae,woodland,shrub/tree
RHIL,Rhamnus ilicifolia Kellogg,hollyleaf redberry,Rhamnaceae,woodland,shrub/tree
ZIOB,Ziziphus obtusifolia (Hook. ex Torr. & A. Gray) A. Gray,lotebush,Rhamnaceae,woodland,shrub/tree
ZIRE,Ziziphus reticulata (Vahl) DC.,cacao rojo,Rhamnaceae,woodland,shrub/tree
AMAL2,Amelanchier ainifolia,Saskatoon serviceberry,Rosaceae,aspen/alder/cottonwood/willow,tree
AMAR3,Amelanchier arborea (Michx. f.) Fernald,common serviceberry,Rosaceae,woodland,shrub/tree
AMIN2,Amelanchier interior E.L. Nielsen,inland serviceberry,Rosaceae,woodland,shrub/tree
AMLA,Amelanchier laevis Wiegand,Allegheny serviceberry,Rosaceae,woodland,shrub/tree
AMELA,Amelanchier Medik.,serviceberry,Rosaceae,woodland,shrub/tree
AMSA,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry,Rosaceae,woodland,shrub/tree
CEMOG,Cercocarpus montanus Raf. var. glaber (S. Watson) F.L. Martin,birchleaf mountain mahogany,Rosaceae,woodland,shrub/tree
CHFO,Chamaebatia foliolosa Benth.,mountain misery,Rosaceae,woodland,shrub/tree
CRCH,Crataegus chrysocarpa Ashe,fireberry hawthorn,Rosaceae,woodland,shrub/tree
CRCR2,Crataegus crus-galli L.,cockspur hawthorn,Rosaceae,woodland,shrub/tree
CRFL2,Crataegus flava Aiton,yellowleaf hawthorn,Rosaceae,woodland,shrub/tree
CRATA,Crataegus L.,hawthorn,Rosaceae,woodland,shrub/tree
CRMA3,Crataegus macrosperma Ashe,bigfruit hawthorn,Rosaceae,woodland,shrub/tree
CRSP,Crataegus spathulata Michx.,littlehip hawthorn,Rosaceae,woodland,shrub/tree
CRUN,Crataegus uniflora MÃ¼nchh.,dwarf hawthorn,Rosaceae,woodland,shrub/tree
DAFR6,Dasiphora fruticosa (L.) Rydb.,shrubby cinquefoil,Rosaceae,woodland,shrub/tree
DAFRF,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil,Rosaceae,woodland,shrub/tree
HODI,Holodiscus discolor (Pursh) Maxim.,oceanspray,Rosaceae,woodland,shrub/tree
MALUS,Malus Mill.,apple,Rosaceae,woodland,shrub/tree
OECE,Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon,Indian plum,Rosaceae,woodland,shrub/tree
PRAM,Prunus americana Marshall,American plum,Rosaceae,woodland,shrub/tree
PRAN3,Prunus angustifolia Marshall,Chickasaw plum,Rosaceae,woodland,shrub/tree
PRAV,Prunus avium (L.) L.,sweet cherry,Rosaceae,woodland,shrub/tree
PREM,Prunus emarginata (Douglas ex Hook.) D. Dietr.,bitter cherry,Rosaceae,woodland,shrub/tree
PRUNU,Prunus L.,plum,Rosaceae,woodland,shrub/tree
PRME,Prunus mexicana S. Watson,Mexican plum,Rosaceae,woodland,shrub/tree
PRPE2,Prunus pensylvanica L. f.,pin cherry,Rosaceae,woodland,shrub/tree
PRPEP,Prunus pensylvanica L. f. var. pensylvanica,pin cherry,Rosaceae,woodland,shrub/tree
PRSE2,Prunus serotina Ehrh.,black cherry,Rosaceae,woodland,shrub/tree
PRSES,Prunus serotina Ehrh. var. serotina,black cherry,Rosaceae,woodland,shrub/tree
PRUM,Prunus umbellata Elliott,hog plum,Rosaceae,woodland,shrub/tree
PRVI,Prunus virginiana L.,chokecherry,Rosaceae,woodland,shrub/tree
PUST,Purshia stansburiana (Torr.) Henrickson,Stansbury cliffrose,Rosaceae,woodland,shrub/tree
PUTR2,Purshia tridentata (Pursh) DC.,antelope bitterbrush,Rosaceae,woodland,shrub/tree
PYCA80,Pyrus calleryana Decne.,Callery pear,Rosaceae,mixed hardwood,tree
PYRUS,Pyrus L.,pear,Rosaceae,mixed hardwood,tree
RHSC3,Rhodotypos scandens (Thunb.) Makino,jetbead,Rosaceae,,shrub
ROAR3,Rosa arkansana Porter,prairie rose,Rosaceae,,shrub
ROGY,Rosa gymnocarpa Nutt.,dwarf rose,Rosaceae,,shrub
ROMU,Rosa multiflora Thunb.,multiflora rose,Rosaceae,,shrub
ROSE2,Rosa setigera Michx.,climbing rose,Rosaceae,,shrub
ROWO,Rosa woodsii Lindl.,Woods' rose,Rosaceae,,shrub
RUAL,Rubus allegheniensis Porter,Allegheny blackberry,Rosaceae,,shrub
RUAR9,Rubus armeniacus Focke,Himalayan blackberry,Rosaceae,,shrub
RUHA,Rubus hawaiensis A. Gray,Hawai'i blackberry,Rosaceae,,shrub
RUBUS,Rubus L.,blackberry,Rosaceae,,shrub
RULA,Rubus laciniatus Willd.,cutleaf blackberry,Rosaceae,,shrub
RULE,Rubus leucodermis Douglas ex Torr. & A. Gray,whitebark raspberry,Rosaceae,,shrub
RUOC,Rubus occidentalis L.,black raspberry,Rosaceae,,shrub
RUOK,Rubus oklahomus L.H. Bailey,Oklahoma blackberry,Rosaceae,,shrub
