Common name,Genus,Species,"FIA
Code",Wood Specific gravity (green volume basis dry weight),,"Avg. moisture content of wood as a
% of oven- dry weight","Avg. moisture content of bark as a
% of oven- dry weight",Wood Specific gravity (12 pct MC volume basis dry weight),
Sweet acacia,Acacia,farnesiana,303,0.52,0.53,75.00,80.00,0.58,15.2
Catclaw acacia,Acacia,greggii,304,0.52,0.53,75.00,80.00,0.58,15.2
Maple spp.,Acer,spp.,310,0.47,0.53,70.00,91.00,0.52,10.9
Florida maple,Acer,barbatum,311,0.47,0.53,70.00,91.00,0.52,10.9
Bigleaf maple,Acer,macrophyllum,312,0.44,0.48,71.00,114.00,0.48,10
Boxelder,Acer,negundo,313,0.42,0.5,91.00,92.00,0.46,8.6
Black maple,Acer,nigrum,314,0.52,0.54,70.00,90.00,0.57,15.6
Striped maple,Acer,pensylvanicum,315,0.44,0.5,71.00,89.00,0.46,8.6
Red maple,Acer,rubrum,316,0.49,0.6,64.00,79.00,0.54,8.60
Silver maple,Acer,saccharinum,317,0.44,0.57,68.00,80.00,0.47,8.6
Sugar maple,Acer,saccharum,318,0.56,0.54,57.00,90.00,0.63,15.6
Mountain maple,Acer,spicatum,319,0.47,0.53,70.00,91.00,0.52,10.9
Norway maple,Acer,platanoides,320,0.47,0.53,70.00,91.00,0.52,10.9
Rocky Mountain maple,Acer,glabrum,321,0.47,0.53,70.00,91.00,0.52,10.9
Bigtooth maple,Acer,grandidentatum,322,0.47,0.53,70.00,91.00,0.52,10.9
Chalk maple,Acer,leucoderme,323,0.47,0.53,70.00,91.00,0.52,10.9
"Buckeye, horsechestnut spp.",Aesculus,spp.,330,0.33,0.5,143.00,89.00,0.36,15
Ohio buckeye,Aesculus,glabra,331,0.33,0.5,143.00,89.00,0.36,15
Yellow buckeye,Aesculus,flava,332,0.33,0.5,143.00,89.00,0.36,15
California buckeye,Aesculus,californica,333,0.33,0.5,143.00,89.00,0.36,15
Texas buckeye,Aesculus,glabra,334,0.33,0.5,143.00,89.00,0.36,15
Red buckeye,Aesculus,pavia,336,0.33,0.5,143.00,89.00,0.36,15
Painted buckeye,Aesculus,sylvatica,337,0.33,0.5,143.00,89.00,0.36,15
Ailanthus,Ailanthus,altissima,341,0.46,0.45,74.00,78.00,0.53,15
"Mimosa, silktree",Albizia,julibrissin,345,0.52,0.53,75.00,80.00,0.58,15.2
Alder spp.,Alnus,spp.,350,0.37,0.56,99.00,75.00,0.41,11.5
Red alder,Alnus,rubra,351,0.37,0.56,99.00,75.00,0.41,12
White alder,Alnus,rhombifolia,352,0.37,0.56,99.00,75.00,0.41,11.5
Arizona alder,Alnus,oblongifolia,353,0.37,0.56,99.00,75.00,0.41,11.5
European alder,Alnus,glutinosa,355,0.37,0.56,99.00,75.00,0.41,11.5
Serviceberry spp.,Amelanchier,spp.,356,0.66,0.5,48.00,60.00,0.79,8.6
Common serviceberry,Amelanchier,arborea,357,0.66,0.5,48.00,60.00,0.79,8.6
Roundleaf serviceberry,Amelanchier,sanguinea,358,0.66,0.5,48.00,60.00,0.79,8.6
Madrone spp.,Arbutus,spp.,360,0.58,0.6,66.00,60.00,0.65,15
Pacific madrone,Arbutus,menziesii,361,0.58,0.6,66.00,60.00,0.65,15
Arizona madrone,Arbutus,arizonica,362,0.58,0.6,66.00,60.00,0.65,15
Texas madrone,Arbutus,xalapensis,363,0.58,0.6,66.00,60.00,0.65,15
Pawpaw,Asimina,triloba,367,0.52,0.53,75.00,80.00,0.58,15.2
Birch spp.,Betula,spp.,370,0.51,0.58,74.00,55.00,0.58,11
Yellow birch,Betula,alleghaniensis,371,0.55,0.62,72.00,60.00,0.62,9.80
Sweet birch,Betula,lenta,372,0.6,0.62,73.00,53.00,0.65,9.8
River birch,Betula,nigra,373,0.49,0.55,86.00,46.00,0.56,9.8
Water birch,Betula,occidentalis,374,0.51,0.58,74.00,55.00,0.58,11
Paper birch,Betula,papyrifera,375,0.48,0.56,74.00,52.00,0.55,12.6
Virginia roundleaf birch,Betula,uber,377,0.51,0.58,74.00,55.00,0.58,11
Northwestern paper birch,Betula,x utahensis,378,0.51,0.58,74.00,55.00,0.58,11
Gray birch,Betula,populifolia,379,0.45,0.55,64.00,63.00,0.51,12.6
"Chittamwood, gum bumelia",Sideroxylon,lanuginosum,381,0.52,0.53,75.00,80.00,0.58,15.2
"American hornbeam, musclewood",Carpinus,caroliniana,391,0.58,0.55,46.00,89.00,0.7,8.6
Hickory spp.,Carya,spp.,400,0.62,0.62,69.00,57.00,0.68,16
Water hickory,Carya,aquatica,401,0.61,0.6,84.00,60.00,0.62,16
Bitternut hickory,Carya,cordiformis,402,0.6,0.6,71.00,60.00,0.66,16
Pignut hickory,Carya,glabra,403,0.66,0.6,65.00,60.00,0.75,16
Pecan,Carya,illinoinensis,404,0.6,0.6,66.00,60.00,0.66,16
Shellbark hickory,Carya,laciniosa,405,0.62,0.6,65.00,60.00,0.69,16
Nutmeg hickory,Carya,myristiciformis,406,0.56,0.6,77.00,60.00,0.6,16
Shagbark hickory,Carya,ovata,407,0.64,0.72,60.00,34.00,0.72,16
Black hickory,Carya,texana,408,0.62,0.62,69.00,57.00,0.68,16
Mockernut hickory,Carya,alba,409,0.64,0.6,63.00,60.00,0.72,16
Sand hickory,Carya,pallida,410,0.62,0.62,69.00,57.00,0.68,16
Scrub hickory,Carya,floridana,411,0.62,0.62,69.00,57.00,0.68,16
Red hickory,Carya,ovalis,412,0.62,0.62,69.00,57.00,0.68,16
Southern shagbark hickory,Carya,carolinae-septentrionalis,413,0.62,0.62,69.00,57.00,0.68,16
Chestnut spp.,Castanea,spp.,420,0.4,0.5,120.00,89.00,0.43,15
American chestnut,Castanea,dentata,421,0.4,0.5,120.00,89.00,0.43,15
Allegheny chinkapin,Castanea,pumila,422,0.4,0.5,120.00,89.00,0.43,15
Ozark chinkapin,Castanea,pumila,423,0.4,0.5,120.00,89.00,0.43,15
Chinese chestnut,Castanea,mollissima,424,0.4,0.5,120.00,89.00,0.43,15
"Giant chinkapin, golden chinkapin",Chrysolepis,chrysophylla,431,0.42,0.42,133.00,91.00,0.46,12
Catalpa spp.,Catalpa,spp.,450,0.38,0.5,73.00,89.00,0.41,15
Southern catalpa,Catalpa,bignonioides,451,0.38,0.5,73.00,89.00,0.41,15
Northern catalpa,Catalpa,speciosa,452,0.38,0.5,73.00,89.00,0.41,15
Hackberry spp.,Celtis,spp.,460,0.49,0.49,64.00,90.00,0.53,15
Sugarberry,Celtis,laevigata,461,0.49,0.49,64.00,90.00,0.53,15
Hackberry,Celtis,occidentalis,462,0.49,0.49,64.00,90.00,0.53,15
Netleaf hackberry,Celtis,laevigata,463,0.49,0.49,64.00,90.00,0.53,15
Eastern redbud,Cercis,canadensis,471,0.52,0.53,75.00,80.00,0.58,15.2
Curlleaf mountain-mahogany,Cercocarpus,ledifolius,475,0.52,0.53,75.00,80.00,0.58,15.2
Yellowwood,Cladrastis,kentukea,481,0.52,0.53,75.00,80.00,0.58,15.2
Dogwood spp.,Cornus,spp.,490,0.61,0.58,40.00,91.00,0.68,15
Flowering dogwood,Cornus,florida,491,0.64,0.58,33.00,91.00,0.73,15
Pacific dogwood,Cornus,nuttallii,492,0.58,0.58,46.00,91.00,0.62,15
Hawthorn spp.,Crataegus,spp.,500,0.52,0.53,75.00,80.00,0.58,15.2
Cockspur hawthorn,Crataegus,crus-galli,501,0.52,0.53,75.00,80.00,0.58,15.2
Downy hawthorn,Crataegus,mollis,502,0.52,0.53,75.00,80.00,0.58,15.2
Brainerd’s hawthorn,Crataegus,brainerdii,503,0.52,0.53,75.00,80.00,0.58,15.2
Pear hawthorn,Crataegus,calpodendron,504,0.52,0.53,75.00,80.00,0.58,15.2
Fireberry hawthorn,Crataegus,chrysocarpa,505,0.52,0.53,75.00,80.00,0.58,15.2
Broadleaf hawthorn,Crataegus,dilatata,506,0.52,0.53,75.00,80.00,0.58,15.2
Fanleaf hawthorn,Crataegus,flabellata,507,0.52,0.53,75.00,80.00,0.58,15.2
Oneseed hawthorn,Crataegus,monogyna,508,0.52,0.53,75.00,80.00,0.58,15.2
Scarlet hawthorn,Crataegus,pedicellata,509,0.52,0.53,75.00,80.00,0.58,15.2
Eucalyptus spp.,Eucalyptus,spp.,510,0.52,0.53,75.00,80.00,0.58,15.2
Tasmanian bluegum,Eucalyptus,globulus,511,0.52,0.53,75.00,80.00,0.58,15.2
River redgum,Eucalyptus,camaldulensis,512,0.52,0.53,75.00,80.00,0.58,15.2
Grand eucalyptus,Eucalyptus,grandis,513,0.52,0.53,75.00,80.00,0.58,15.2
Swampmahogany,Eucalyptus,robusta,514,0.52,0.53,75.00,80.00,0.58,15.2
Persimmon spp.,Diospyros,spp.,520,0.64,0.5,58.00,89.00,0.74,15
Common persimmon,Diospyros,virginiana,521,0.64,0.5,58.00,89.00,0.74,15
Texas persimmon,Diospyros,texana,522,0.64,0.5,58.00,89.00,0.74,15
Anacua knockaway,Ehretia,anacua,523,0.52,0.53,75.00,80.00,0.58,15.2
American beech,Fagus,grandifolia,531,0.56,0.67,55.00,89.00,0.64,6.00
Ash spp.,Fraxinus,spp.,540,0.51,0.46,61.00,86.00,0.55,16
White ash,Fraxinus,americana,541,0.55,0.5,46.00,89.00,0.6,16
Oregon ash,Fraxinus,latifolia,542,0.5,0.5,60.00,89.00,0.55,16
Black ash,Fraxinus,nigra,543,0.45,0.43,85.00,90.00,0.49,16
Green ash,Fraxinus,pennsylvanica,544,0.53,0.48,57.00,70.00,0.56,16
Pumpkin ash,Fraxinus,profunda,545,0.48,0.45,67.00,89.00,0.52,16
Blue ash,Fraxinus,quadrangulata,546,0.53,0.39,51.00,89.00,0.58,16
Velvet ash,Fraxinus,velutina,547,0.51,0.46,61.00,86.00,0.55,16
Carolina ash,Fraxinus,caroliniana,548,0.51,0.46,61.00,86.00,0.55,16
Texas ash,Fraxinus,texensis,549,0.51,0.46,61.00,86.00,0.55,16
Honeylocust spp.,Gleditsia,spp.,550,0.6,0.5,60.00,89.00,0.65,15
Waterlocust,Gleditsia,aquatica,551,0.6,0.5,60.00,89.00,0.65,15
Honeylocust,Gleditsia,triacanthos,552,0.6,0.5,60.00,89.00,0.65,15
Loblolly-bay,Gordonia,lasianthus,555,0.52,0.53,75.00,80.00,0.58,15.2
"Ginkgo, maidenhair tree",Ginkgo,biloba,561,0.52,0.53,75.00,80.00,0.58,15.2
Kentucky coffeetree,Gymnocladus,dioicus,571,0.53,0.5,51.00,60.00,0.6,15
Silverbell spp.,Halesia,spp.,580,0.42,0.5,68.00,89.00,0.45,15
Carolina silverbell,Halesia,carolina,581,0.42,0.5,68.00,89.00,0.45,15
Two-wing silverbell,Halesia,diptera,582,0.42,0.5,68.00,89.00,0.45,15
Little silverbell,Halesia,parviflora,583,0.42,0.5,68.00,89.00,0.45,15
American holly,Ilex,opaca,591,0.5,0.5,83.00,89.00,0.57,15
Walnut spp.,Juglans,spp.,600,0.44,0.37,92.00,89.00,0.47,15
Butternut,Juglans,cinerea,601,0.36,0.4,105.00,88.00,0.38,15
Black walnut,Juglans,nigra,602,0.51,0.33,79.00,89.00,0.55,15
Northern California black walnut,Juglans,hindsii,603,0.44,0.37,92.00,89.00,0.47,15
Southern California black walnut,Juglans,californica,604,0.44,0.37,92.00,89.00,0.47,15
Texas walnut,Juglans,microcarpa,605,0.44,0.37,92.00,89.00,0.47,15
Arizona walnut,Juglans,major,606,0.44,0.37,92.00,89.00,0.47,15
Sweetgum,Liquidambar,styraciflua,611,0.46,0.42,74.00,91.00,0.52,15
Yellow-poplar,Liriodendron,tulipifera,621,0.4,0.38,95.00,124.00,0.42,18
Tanoak,Lithocarpus,densiflorus,631,0.58,0.62,80.00,60.00,0.62,19
Osage-orange,Maclura,pomifera,641,0.76,0.6,31.00,60.00,0.85,15
Magnolia spp.,Magnolia,spp.,650,0.43,0.44,92.00,93.00,0.47,15
Cucumbertree,Magnolia,acuminata,651,0.44,0.44,78.00,89.00,0.48,15
Southern magnolia,Magnolia,grandiflora,652,0.46,0.44,106.00,89.00,0.5,15
Sweetbay,Magnolia,virginiana,653,0.42,0.44,87.00,104.00,0.46,15
Bigleaf magnolia,Magnolia,macrophylla,654,0.43,0.44,92.00,93.00,0.47,15
Mountain or Fraser magnolia,Magnolia,fraseri,655,0.4,0.44,96.00,89.00,0.44,15
Pyramid magnolia,Magnolia,pyramidata,657,0.43,0.44,92.00,93.00,0.47,15
Umbrella magnolia,Magnolia,tripetala,658,0.43,0.44,92.00,93.00,0.47,15
Apple spp.,Malus,spp.,660,0.61,0.5,78.00,70.00,0.67,15
Oregon crab apple,Malus,fusca,661,0.61,0.5,78.00,70.00,0.67,15
Southern crab apple,Malus,angustifolia,662,0.61,0.5,78.00,70.00,0.67,15
Sweet crab apple,Malus,coronaria,663,0.61,0.5,78.00,70.00,0.67,15
Prairie crab apple,Malus,ioensis,664,0.61,0.5,78.00,70.00,0.67,15
Mulberry spp.,Morus,spp.,680,0.52,0.53,75.00,80.00,0.58,15.2
White mulberry,Morus,alba,681,0.52,0.53,75.00,80.00,0.58,15.2
Red mulberry,Morus,rubra,682,0.52,0.53,75.00,80.00,0.58,15.2
Texas mulberry,Morus,microphylla,683,0.52,0.53,75.00,80.00,0.58,15.2
Black mulberry,Morus,nigra,684,0.52,0.53,75.00,80.00,0.58,15.2
Tupelo spp.,Nyssa,spp.,690,0.46,0.51,98.00,77.00,0.5,14
Water tupelo,Nyssa,aquatica,691,0.46,0.58,95.00,82.00,0.5,14
Ogeechee tupelo,Nyssa,ogeche,692,0.46,0.51,98.00,77.00,0.5,14
Blackgum,Nyssa,sylvatica,693,0.46,0.44,101.00,71.00,0.5,14
Swamp tupelo,Nyssa,biflora,694,0.46,0.51,98.00,77.00,0.5,14
Eastern hophornbeam,Ostrya,virginiana,701,0.63,0.5,53.00,89.00,0.7,15
Sourwood,Oxydendrum,arboreum,711,0.5,0.6,70.00,60.00,0.55,15
"Paulownia, empress-tree",Paulownia,tomentosa,712,0.52,0.53,75.00,80.00,0.58,15.2
Bay spp.,Persea,spp.,720,0.52,0.53,75.00,80.00,0.58,15.2
Redbay,Persea,borbonia,721,0.52,0.53,75.00,80.00,0.58,15.2
"Water-elm, planertree",Planera,aquatica,722,0.52,0.53,75.00,80.00,0.58,15.2
Sycamore spp.,Platanus,spp.,729,0.46,0.6,81.00,84.00,0.49,8
California sycamore,Platanus,racemosa,730,0.46,0.6,81.00,84.00,0.49,8
American sycamore,Platanus,occidentalis,731,0.46,0.6,81.00,84.00,0.49,8.00
Arizona sycamore,Platanus,wrightii,732,0.46,0.6,81.00,84.00,0.49,8
Cottonwood and poplar spp.,Populus,spp.,740,0.35,0.46,106.00,88.00,0.39,18.4
Balsam poplar,Populus,balsamifera,741,0.31,0.5,107.00,86.00,0.34,22
Eastern cottonwood,Populus,deltoides,742,0.37,0.38,117.00,56.00,0.4,22
Bigtooth aspen,Populus,grandidentata,743,0.36,0.59,91.00,90.00,0.39,14.4
Swamp cottonwood,Populus,heterophylla,744,0.35,0.46,106.00,88.00,0.39,18.4
Plains cottonwood,Populus,deltoides,745,0.35,0.46,106.00,88.00,0.39,18.4
Quaking aspen,Populus,tremuloides,746,0.35,0.5,129.00,102.00,0.38,14.4
Black cottonwood,Populus,balsamifera,747,0.31,0.4,138.00,100.00,0.35,16.3
Fremont cottonwood,Populus,fremontii,748,0.41,0.41,56.00,92.00,0.45,22
Narrowleaf cottonwood,Populus,angustifolia,749,0.35,0.46,106.00,88.00,0.39,18.4
Silver poplar,Populus,alba,752,0.35,0.46,106.00,88.00,0.39,18.4
Lombardy poplar,Populus,nigra,753,0.35,0.46,106.00,88.00,0.39,18.4
Mesquite spp.,Prosopis,spp.,755,0.78,0.65,21.00,41.00,0.82,15
Honey mesquite,Prosopis,glandulosa,756,0.78,0.65,21.00,41.00,0.82,15
Velvet mesquite,Prosopis,velutina,757,0.78,0.65,21.00,41.00,0.82,15
Screwbean mesquite,Prosopis,pubescens,758,0.78,0.65,21.00,41.00,0.82,15
Cherry and plum spp.,Prunus,spp.,760,0.47,0.63,53.00,91.00,0.5,9.2
Pin cherry,Prunus,pensylvanica,761,0.47,0.63,53.00,91.00,0.5,9.2
Black cherry,Prunus,serotina,762,0.47,0.63,53.00,91.00,0.5,9.20
Chokecherry,Prunus,virginiana,763,0.47,0.63,53.00,91.00,0.5,9.2
Peach,Prunus,persica,764,0.47,0.63,53.00,91.00,0.5,9.2
Canada plum,Prunus,nigra,765,0.47,0.63,53.00,91.00,0.5,9.2
American plum,Prunus,americana,766,0.47,0.63,53.00,91.00,0.5,9.2
Bitter cherry,Prunus,emarginata,768,0.47,0.63,53.00,91.00,0.5,9.2
Allegheny plum,Prunus,alleghaniensis,769,0.47,0.63,53.00,91.00,0.5,9.2
Chickasaw plum,Prunus,angustifolia,770,0.47,0.63,53.00,91.00,0.5,9.2
"Sweet cherry, domesticated",Prunus,avium,771,0.47,0.63,53.00,91.00,0.5,9.2
"Sour cherry, domesticated",Prunus,cerasus,772,0.47,0.63,53.00,91.00,0.5,9.2
