Master Species List (MSL),Islands Only Species (IOS) - Not valid on the Mainland,Mainland NFS P2/3 Sub-lists - Not valid on P2/3 plots within a specific NFS Region,Woodland,FIA Code,Common Name,Genus,Species,VARIETY,SUBSPECIES,PLANTS Code,Past NRS Tally,Past PNW Tally,Past RMRS Tally,Past SRS Tally,Caribbean,Pacific,Urban,Historic  P2
MSL,.,.,.,319,mountain maple,Acer,spicatum,.,.,ACSP2,"R, U","PNWS, U",U,"R, U",.,.,.,P2
MSL,.,.,.,5152,tatarian maple,Acer,tataricum,.,.,ACTA80,U,U,U,U,.,.,U,.
MSL,.,.,.,5156,Three Flower Maple,Acer,triflorum,.,.,ACTR7,U,U,U,U,.,.,U,.
MSL,.,.,.,5154,Freeman maple,Acer,x freemanii,.,.,ACFR,U,U,U,U,.,.,U,.
MSL,.,.,.,6021,hollowheart,Acnistus,arborescens,.,.,ACAR,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,906,"Everglades palm, paurotis-palm",Acoelorraphe,wrightii,.,.,ACWR4,"R, U",U,U,"R, U",.,.,.,P2
MSL,.,.,.,6023,grugru palm,Acrocomia,media,.,.,ACME2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6025,baobab,Adansonia,digitata,.,.,ADDI3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6026,wild lime,Adelia,ricinella,.,.,ADRI,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6028,red beadtree,Adenanthera,pavonina,.,.,ADPA,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6032,Caribbean spiritweed,Aegiphila,martinicensis,.,.,AEMA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,333,California buckeye,Aesculus,californica,.,.,AECA,"R, U","PNWS, U",U,U,.,.,.,P2
MSL,.,.,.,332,yellow buckeye,Aesculus,flava,.,.,AEFL,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,331,Ohio buckeye,Aesculus,glabra,.,.,AEGL,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,334,Texas buckeye,Aesculus,glabra,arguta,.,AEGLA,"R, U","PNWS, U",U,"R, U",.,.,.,P2
MSL,.,.,.,5163,horse chestnut,Aesculus,hippocastanum,.,.,AEHI,U,U,U,U,.,.,U,.
MSL,.,.,.,6034,yellowwood,Afrocarpus,falcatus,.,.,AFFA,U,U,U,U,.,.,U,.
MSL,.,.,.,6035,East African yellowwood,Afrocarpus,gracilior,.,.,AFGR,U,U,U,U,.,.,U,.
MSL,.,.,.,6036,kauri,Agathis,australis,.,.,AGAU4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6037,Queensland kauri,Agathis,robusta,.,.,AGRO6,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6042,Titimel,Aglaia,mariannensis,.,.,AGMA14,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6044,"karasyu, marasau",Aglaia,ponapensis,.,.,AGPO4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6046,laga ali,Aglaia,samoensis,.,.,AGSA9,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6048,Olomea,Aidia,cochinchinensis,.,.,AICO2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6049,Aidia racemosa,Aidia,racemosa,.,.,AIRA2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,341,ailanthus,Ailanthus,altissima,.,.,AIAL,"R, U","PNWS, P, U","R, U","R, U",.,P,.,P2
MSL,.,.,.,6053,Aiphanes minima,Aiphanes,minima,.,.,AIMI,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6055,cream albizia,Albizia,adinocephala,.,.,ALAD,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6056,naked albizia,Albizia,carbonaria,.,.,ALCA8,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6057,Chinese albizia,Albizia,chinensis,.,.,ALCH2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,345,"mimosa, silktree",Albizia,julibrissin,.,.,ALJU,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,6059,woman's tongue,Albizia,lebbeck,.,.,ALLE,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6060,tall albizia,Albizia,procera,.,.,ALPR,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6061,ukall ra ngebard,Albizia,retusa,.,.,ALRE,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6062,whiteflower albizia,Albizia,saponaria,.,.,ALSA10,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6064,achiotillo,Alchornea,latifolia,.,.,ALLA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6066,palo de gallina,Alchorneopsis,floribunda,.,.,ALFL3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6069,Hawaii alectryon,Alectryon,macrococcus,.,.,ALMA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6075,Indian walnut,Aleurites,moluccana,.,.,ALMO2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6078,lumbang,Aleurites,trisperma,.,.,ALTR11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6080,palo blanco,Allophylus,crassinervis,.,.,ALCR9,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6082,palo de caja,Allophylus,racemosus,.,.,ALRA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6084,chebeludes,Allophylus,ternatus,.,.,ALTE13,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6085,"ebeludes, chebeludes",Allophylus,timorensis,.,.,ALTI2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,5189,Italian alder,Alnus,cordata,.,.,ALCO13,U,U,U,U,.,.,U,.
MSL,.,.,.,355,European alder,Alnus,glutinosa,.,.,ALGL2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,6086,Nepal alder,Alnus,nepalensis,.,.,ALNE2,U,"P, U",U,U,.,P,U,.
MSL,.,.,.,353,Arizona alder,Alnus,oblongifolia,.,.,ALOB2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,352,white alder,Alnus,rhombifolia,.,.,ALRH2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,351,red alder,Alnus,rubra,.,.,ALRU2,"R, U","PNWS, AK, U","R, U",U,.,.,.,P2
MSL,.,.,.,6088,"chelebiob, elebiong",Alphitonia,carolinensis,.,.,ALCA21,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6089,Hawaii kauilatree,Alphitonia,ponderosa,.,.,ALPO3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6091,toi,Alphitonia,zizyphoides,.,.,ALZI,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6092,helecho gigante de la sierra,Alsophila,bryophila,.,.,ALBR4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6093,Alsophila portoricensis,Alsophila,portoricensis,.,.,ALPO7,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6095,deviltree,Alstonia,macrophylla,.,.,ALMA16,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6096,Alstonia pacifica,Alstonia,pacifica,.,.,ALPA22,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,357,common serviceberry,Amelanchier,arborea,.,.,AMAR3,.,U,U,U,.,.,.,P2
MSL,.,.,.,5203,Allegheny serviceberry,Amelanchier,laevis,.,.,AMLA,.,U,U,U,.,.,U,.
MSL,.,.,.,358,roundleaf serviceberry,Amelanchier,sanguinea,.,.,AMSA,.,U,U,U,.,.,.,P2
MSL,.,"5,6,10",.,356,serviceberry spp.,Amelanchier,spp.,.,.,AMELA,"R, U",U,.,"R, U",.,.,.,P2
MSL,.,.,.,6101,black calabash,Amphitecna,latifolia,.,.,AMLA4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6103,balsam torchwood,Amyris,balsamifera,.,.,AMBA2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,852,sea torchwood,Amyris,elemifera,.,.,AMEL,"R, U",U,U,"R, C, U",C,.,.,P2
MSL,.,.,.,6107,cashew,Anacardium,occidentale,.,.,ANOC,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6108,Anacolosa glochidiiformis,Anacolosa,glochidiiformis,.,.,ANGL5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6109,Anacolosa insularis,Anacolosa,insularis,.,.,ANIN13,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6111,Anadenanthera peregrina,Anadenanthera,peregrina,.,.,ANPE13,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6114,cabbagebark tree,Andira,inermis,.,.,ANIN,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6120,canelillo,Aniba,bracteata,.,.,ANBR7,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6124,Annona cherimola,Annona,cherimola,.,.,ANCH9,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6125,ilama,Annona,diversifolia,.,.,ANDI11,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,853,pond-apple,Annona,glabra,.,.,ANGL4,"R, U",U,U,"R, C, U",C,.,.,P2
MSL,.,.,.,6127,mountain soursop,Annona,montana,.,.,ANMO,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6128,soursop,Annona,muricata,.,.,ANMU2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6129,custard apple,Annona,reticulata,.,.,ANRE,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6131,sugar apple,Annona,squamosa,.,.,ANSQ,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6137,Antidesma bunius,Antidesma,bunius,.,.,ANBU3,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6135,Kapua china laurel,Antidesma,kapuae,.,.,ANKA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6138,Antidesma kusaiense,Antidesma,kusaiense,.,.,ANKU3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6139,ha a,Antidesma,platyphyllum,.,.,ANPL2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6143,hame,Antidesma,pulvinatum,.,.,ANPU2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6146,placa chiquitu,Antirhea,acutata,.,.,ANAC4,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6147,pegwood,Antirhea,coriacea,.,.,ANCO3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6148,Antirhea inconspicua,Antirhea,inconspicua,.,.,ANIN2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6149,palo iloron,Antirhea,lucida,.,.,ANLU3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6150,quina roja,Antirhea,obtusifolia,.,.,ANOB2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6151,Puerto Rico quina,Antirhea,portoricensis,.,.,ANPO3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6152,Sintenis' quina,Antirhea,sintenisii,.,.,ANSI,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,5232,Japanese angelica tree,Aralia,elata,.,.,AREL8,U,U,U,U,.,.,U,.
MSL,.,.,.,6154,parana pine,Araucaria,angustifolia,.,.,ARAN15,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6155,New Caledonia pine,Araucaria,columnaris,.,.,ARCO32,U,"P, U",U,U,.,P,U,.
MSL,.,.,.,6157,Norfolk Island pine,Araucaria,heterophylla,.,.,ARHE12,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,362,Arizona madrone,Arbutus,arizonica,.,.,ARAR2,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,361,Pacific madrone,Arbutus,menziesii,.,.,ARME,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,6180,strawberry tree,Arbutus,unedo,.,.,ARUN4,.,U,U,U,.,.,U,.
MSL,.,.,w,363,Texas madrone,Arbutus,xalapensis,.,.,ARXA80,"R, U",U,U,"R, U",.,.,.,P2
MSL,.,.,.,6159,Alexandra palm,Archontophoenix,alexandrae,.,.,ARAL,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6160,Bangalow palm,Archontophoenix,cunninghamiana,.,.,ARCU2,U,U,U,U,.,.,U,.
MSL,IOS,.,.,6161,shoebutton,Ardisia,elliptica,.,.,AREL4,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6162,ausubon,Ardisia,glauciflora,.,.,ARGL11,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6163,mountain marlberry,Ardisia,luquillensis,.,.,ARLU3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6164,Guadeloupe marlberry,Ardisia,obovata,.,.,AROB2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6165,China-shrub,Ardisia,solanacea,.,.,ARSO,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6167,betelnut,Areca,catechu,.,.,ARCA41,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6169,cabo-negro,Arenga,pinnata,.,.,ARPI6,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6171,breadfruit,Artocarpus,altilis,.,.,ARAL7,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6173,Artocarpus heterophyllus,Artocarpus,heterophyllus,.,.,ARHE2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6175,"dugdug, Marianas breadfruit",Artocarpus,mariannensis,.,.,ARMA28,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6176,Artocarpus nobilis,Artocarpus,nobilis,.,.,ARNO,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6177,Marang,Artocarpus,odoratissimus,.,.,AROD2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6179,taputoi,Arytera,brackenridgei,.,.,ARBR11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6181,afia,Ascarina,diffusa,.,.,ASDI14,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,367,pawpaw,Asimina,triloba,.,.,ASTR,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,6184,Astronidium kusaianum,Astronidium,kusaianum,.,.,ASKU2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6185,Astronidium navigatorum,Astronidium,navigatorum,.,.,ASNA10,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6186,mesekui,Astronidium,palauense,.,.,ASPA37,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6187,Astronidium pickeringii,Astronidium,pickeringii,.,.,ASPI11,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6188,Astronidium samoense,Astronidium,samoense,.,.,ASSA23,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6190,Astronidium subcordata,Astronidium,subcordata,.,.,ASSU31,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6193,ifi ifi,Atuna,racemosa,.,.,ATRA2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6197,Bilimbi,Averrhoa,bilimbi,.,.,AVBI,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6198,carambola,Averrhoa,carambola,.,.,AVCA,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,986,black mangrove,Avicennia,germinans,.,.,AVGE,"R, U",U,U,"R, C, U",C,.,.,P2
MSL,.,.,.,6203,Avicennia marina,Avicennia,marina,.,.,AVMA3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6200,biut,Avicennia,Marina ssp.Marina,.,.,AVAL,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6206,neem,Azadirachta,indica,.,.,AZIN2,U,"P, U",U,"C, U",C,.,.,.
MSL,.,.,.,6208,Saitamu,Baccaurea,taitensis,.,.,BATA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,5261,peach palm,Bactris,gasipaes,.,.,BAGA2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6213,ralm,Badusa,palauensis,.,.,BAPA8,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6217,Puerto Rico palo de ramon,Banara,portoricensis,.,.,BAPO,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6219,Vanderbilt's palo de ramon,Banara,vanderbiltii,.,.,BAVA2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6220,sea putat,Barringtonia,asiatica,.,.,BAAS3,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6221,langaasag,Barringtonia,racemosa,.,.,BARA5,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6222,falaga,Barringtonia,samoensis,.,.,BASA9,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6224,Bastardiopsis eggersii,Bastardiopsis,eggersii,.,.,BAEG6,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6241,Texasplume,Bauhinia,lunarioides,.,.,BALU,U,U,U,U,.,.,U,.
MSL,.,.,.,6226,Napoleon's plume,Bauhinia,monandra,.,.,BAMO2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6227,petite flamboyant bauhinia,Bauhinia,multinervia,.,.,BAMU3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6228,railroadfence,Bauhinia,pauletia,.,.,BAPA3,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6229,butterfly tree,Bauhinia,purpurea,.,.,BAPU,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6231,St. Thomas tree,Bauhinia,tomentosa,.,.,BATO,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6232,mountain ebony,Bauhinia,variegata,.,.,BAVA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6252,bauhinia,Bauhinia,x blakeana,.,.,BABL,U,U,U,U,.,.,U,.
MSL,.,.,.,6233,slugwood,Beilschmiedia,pendula,.,.,BEPE,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6235,Caribbean myrtlecroton,Bernardia,dichotoma,.,.,BEDI2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,371,yellow birch,Betula,alleghaniensis,.,.,BEAL2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,372,sweet birch,Betula,lenta,.,.,BELE,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,376,resin birch,Betula,neoalaskana,.,.,BENE4,"R, U",AK,"R, U",U,.,.,.,P2
MSL,.,.,.,373,river birch,Betula,nigra,.,.,BENI,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,374,water birch,Betula,occidentalis,.,.,BEOC2,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,375,paper birch,Betula,papyrifera,.,.,BEPA,"R, U","PNWS, AK, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,5279,European white birch,Betula,pendula,.,.,BEPE3,U,U,U,U,.,.,U,.
MSL,.,.,.,5280,Asian white birch,Betula,platyphylla,.,.,BEPL2,U,U,U,U,.,.,U,.
MSL,.,.,.,379,gray birch,Betula,populifolia,.,.,BEPO,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,5281,downy birch,Betula,pubescens,.,.,BEPU5,U,U,U,U,.,.,U,.
MSL,.,.,.,377,Virginia roundleaf birch,Betula,uber,.,.,BEUB,"R, U","PNWS, U","R, U","R, U",.,.,.,P2
MSL,.,.,.,378,northwestern paper birch,Betula,x utahensis,.,.,BEUT,"R, U","PNWS, U","R, U",U,.,.,.,P2
MSL,.,.,.,6236,Javanese bishopwood,Bischofia,javanica,.,.,BIJA,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6238,lipsticktree,Bixa,orellana,.,.,BIOR,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6240,akee,Blighia,sapida,.,.,BLSA2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6242,akupa,Bobea,brevipes,.,.,BOBR3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6243,ahakea lau nui,Bobea,elatior,.,.,BOEL3,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6244,Hawaii dogweed,Bobea,sandwicensis,.,.,BOSA2,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6246,ahakea,Bobea,timonioides,.,.,BOTI,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6247,parrotweed,Bocconia,frutescens,.,.,BOFR2,U,"P, U",U,"C, U",C,P,.,.
MSL,.,.,.,6250,virgata,Boehmeria,virgata,.,.,BOVI7,U,"P, U",U,U,.,P,.,.
MSL,.,.,.,6251,white alling,Bontia,daphnoides,.,.,BODA,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6253,Bourreria radula,Bourreria,radula,.,.,BORA2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6255,bodywood,Bourreria,succulenta,.,.,BOSU2,U,U,U,"C, U",C,.,.,.
MSL,.,.,.,6257,roble de guayo,Bourreria,virgata,.,.,BOVI2,U,U,U,"C, U",C,.,.,.
